"","assets","inc"
"1",42718.9846153846,57970.132572838
"2",139227.707692308,89233.428395252
"3",289379.492307692,91894.1344226915
"4",398023.138461538,66290.4929088947
"5",407019.723076923,52665.6825188839
"6",365246.563636364,NA
